Actores_o_Director,Estado,Plataformas,Genero,Nombre
reiner,feliz,hbo,comedia,The Bucket List
nicholson,feliz,amazon,drama,The Bucket List
columbus,feliz,netflix,comedia,Stepmom
roberts,alegre,netflix,romance,Stepmom
ryder,feliz,hbo,romance,Little Women
armstrong,alegre,video,drama,Little Women
carrey,feliz,hbo,comedia,Yes Man
reed,feliz,apple,romance,Yes Man
docter,alegre,disney,animadas,Inside Out
docter,feliz,disney,aventura,Inside Out
winston,feliz,hbo,documental,Friends: The Reunion
aniston,alegre,paramount,documental,Friends: The Reunion
harrelson,enojado,star,thriller,Natural Born Killers
brosnan,enojado,prime,accion,Tomorrow Never Dies
almodovar,enojada,netflix,drama,The Flower of My Secret
evans,enojada,paramount,drama,Puncture
hanks,optimista,paramount,comedia,Forrest Gump
butler,optimista,prime,accion,Machine Gun Preacher
schmidt,reflexivo,prime,documental,"Inner Worlds, Outer Worlds"
schmidt,reflexiva,prime,documental,"Inner Worlds, Outer Worlds"
pruneda,melancolico,vix,drama,El sueño de Lú
spacey,alegre,hbo,drama,Pay It Forward
almodovar,triste,netflix,drama,Talk to Her
chlumsky,triste,netflix,comedia,My Girl
aristarain,triste,prime,drama,Martin (Hache)
meza,triste,prime,drama,Buenos Aires 100 km
winslet,triste,netflix,drama,Labor Day
quattordio,triste,netflix,drama,Memories of a Teenager
foster,triste,apple,drama,The Beaver
rickman,romantico,prime,romance,Love Actually
mirman,romantico,prime,romance,Shadows in the Sun
seyfried,romantica,netflix,romance,Letters to Juliet
willson,romantica,netflix,romance,Midnight in Paris
rickman,enamorado,prime,romance,Love Actually
mirman,enamorado,prime,romance,Shadows in the Sun
seyfried,enamorada,netflix,romance,Letters to Juliet
willson,enamorada,netflix,romance,Midnight in Paris
burnham,contento,netflix,comedia,Bo Burnham: Make Happy
phoenix,estresado,prime,thriller,Jocker
reiner,aburrido,hbo,comedia,The Bucket List
nicholson,aburrida,amazon,drama,The Bucket List
columbus,aburrido,netflix,comedia,Stepmom
roberts,,netflix,romance,Stepmom
ryder,aburrido,hbo,romance,Little Women
armstrong,aburrido,video,drama,Little Women
carrey,aburrido,hbo,comedia,Yes Man
reed,aburrido,apple,romance,Yes Man
docter,aburrido,disney,animadas,Inside Out
docter,aburrido,disney,aventura,Inside Out
winston,aburrido,hbo,documental,Friends: The Reunion
aniston,aburrido,paramount,documental,Friends: The Reunion
harrelson,aburrido,star,thriller,Natural Born Killers
brosnan,aburrido,prime,accion,Tomorrow Never Dies
almodovar,aburrida,netflix,drama,The Flower of My Secret
evans,aburrida,paramount,drama,Puncture
hanks,aburrida,paramount,comedia,Forrest Gump
butler,aburrida,prime,accion,Machine Gun Preacher
schmidt,aburrida,prime,documental,"Inner Worlds, Outer Worlds"
schmidt,aburrido,prime,documental,"Inner Worlds, Outer Worlds"
pruneda,aburrido,vix,drama,El sueño de Lú
spacey,aburrido,hbo,drama,Pay It Forward
almodovar,aburrido,netflix,drama,Talk to Her
chlumsky,aburrido,netflix,comedia,My Girl
aristarain,aburrido,prime,drama,Martin (Hache)
meza,aburrido,prime,drama,Buenos Aires 100 km
winslet,aburrido,netflix,drama,Labor Day
quattordio,aburrida,netflix,drama,Memories of a Teenager
foster,aburrida,apple,drama,The Beaver
rickman,aburrida,prime,romance,Love Actually
mirman,aburrida,prime,romance,Shadows in the Sun
seyfried,aburrida,netflix,romance,Letters to Juliet
willson,aburrida,netflix,romance,Midnight in Paris
rickman,aburrida,prime,romance,Love Actually
mirman,aburrido,prime,romance,Shadows in the Sun
seyfried,aburrido,netflix,romance,Letters to Juliet
willson,aburrido,netflix,romance,Midnight in Paris
burnham,aburrido,netflix,comedia,Bo Burnham: Make Happy
phoenix,aburrido,prime,thriller,Jocker
hanks,feliz,disney,animadas,Toy Story
hutcherson,aburrido,netflix,aventura,El mundo mágico de Terabithia
burton,feliz,hbo,animadas,El cadaver de la novia
dunham,feliz,disney,aventura,Homeward Bound: The Incredible Journey
selick,feliz,disney,fantasia,El extraño mundo de Jack
carrey,feliz,disney,animadas,Horton y el Mundo  de los Quién
docter,feliz,disney,animadas,"Up, una aventura de altura"
saldanha,feliz,disney,animadas,Rio
cracken,feliz,hbo,animadas,Las chicas superpoderosas
garfield,alegre,hbo,accion,The Amazing Spider-Man 2
williams,alegre,disney,aventura,Grandes Heroes
matzieu,triste,prime,romance,Jack and the Cuckoo-Clock Heart
gutierrez,alegre,disney,animadas,El libro de la vida
bateman,alegre,disney,animadas,Zootopia
adams,alegre,netflix,animadas,Next Gen
appelhans,alegre,netflix,animadas,Wish Dragon
toro,aburrido,netflix,animadas,Pinocchio de Guillermo del Toro
williams,feliz,netflix,animadas,The Sea Beast
goodall,inspirado,disney,documental,Jane Goodall: The Hope
eastwood,feliz,hbo,thriller,Mystic River
tarantino,aburrido,prime,thriller,Death Proof
stallone,motivado,prime,thriller,Cliffhanger
chan,alegre,amazon,accion,New Police Story
